Column,Average,Standard Deviation
TEAM_ID,0.055921834019930984,0.0001762906886808251
PLAYER_ID,0.09132270999222386,0.00019310194937566347
DATE_DIFF,0.05804064468713399,0.0002873122431630453
OPPOSING_TEAM,0.14812275010673592,0.00021864985632888848
WINRATE,0.04907642146936823,0.00036811547527322623
AVERAGE_TRIPLES,0.5057023882849954,0.0004760036822148835
LOCATION,0.028662720692389072,0.00013287913460730742
SEASON,0.06315053074722257,0.0002613307843518684
